1,2,Animated feature film,Tatsumi,2011-09-15
2,219,Crime thriller film,A History of Violence ,2005-05-16
3,7,Adult animated science fiction film,Akira,1988-07-16
8,225,Animated film,Aya of Yop City (French title: Aya de Yopougon),2013-07-17
9,199,Coming-of-age romantic drama film ,Blue Is the Warmest Colour (French: La Vie d'Adèle – Chapitres 1 & 2),2013-05-23
10,36,Prose hardcover novel,Civil War,2012-07-01
11,36,Superhero film,Captain America: Civil War,2016-04-12
12,36,Animated television series,Avengers Assemble,2013-05-26
13,36,Action role-playing video gam,Marvel: Ultimate Alliance 2,2009-09-15
14,40,Web television miniseries,The Defenders,2017-08-18
15,57,Mystery horror film,From Hell,2011-10-19
16,61,Black comedy film,Ghost World,2001-06-16
17,156,Superhero film,Watchmen,2009-02-23
30,156,Animated short film series of motion comics,The Watchmen: Motion Comic,2008-07-17
31,155,Dystopian political thriller film,V for Vendetta,2005-12-11
32,16,Direct-to-video animated superhero film,Batman: The Dark Knight Returns,2013-10-08
33,19,Animated superhero film,Batman: Year One,2011-10-18
35,5,Television series,Smallville,2001-10-16
38,132,,,
39,144,,,
40,13,War drama film,Barefoot Gen,1976-01-24
41,13,Anime war drama film,Barefoot Gen ,1983-07-21
42,13,Television special,Barefoot Gen,2007-08-10
43,13,Opera,Barefoot Gen,2006-01-01
44,13,Musical,Barefoot Gen,1999-10-31
45,266,Minisiries of animated films,Bone,
46,266,Episodic adventure game,Bone: Out from Boneville,2005-09-15
47,266,Video game,Bone: The Great Cow Race,2006-04-12
48,25,Animated feature-length film,Buddha ,2011-05-28
49,44,"Direct-to-video, animated, superhero film",Justice League: The New Frontier,2008-02-26
50,58,Musical ,Fun Home,2013-04-08
51,60,Comedy-drama film,Gemma Bover,2014-09-06
52,63,Supernatural superhero film,Hellboy ,2004-04-30
53,194,Thriller film,I Kill Giants,2017-09-09
54,182,A Comic-Strip Stage Play,Louis Riel,2016-01-01
55,100,Television drama,Kitarō ga Mita Gyokusai: Mizuki Shigeru no Sensō,2007-08-12
56,117,Motion comic,Superman: Red Son,2009-07-01
57,229,Feature-length Japanese anime,Tekkonkinkreet,2006-12-23
58,122,Novel,The Books of Magic,2003-01-01
59,128,Animated biographical film,Persepolis ,2007-05-23
60,170,Play ,The Diary of a Teenage Girl,2010-01-01
61,170,Coming-of-age comedy-drama film ,The Diary of a Teenage Girl,2015-01-24
63,148,Radio adaptation, The Tragical Comedy or Comical Tragedy of Mr. Punch,2005-03-03
64,148,Play,The Tragical Comedy or Comical Tragedy of Mr. Punch,
65,41,Prose Novel,Daredevil: The Man Without Fear,2016-07-26
66,78,Film,Lone Wolf and Cub: Sword of Vengeance,1972-01-01
67,78,Film,Lone Wolf and Cub: Baby Cart at the River Styx,1972-01-01
68,78,Film,  Lone Wolf and Cub: Baby Cart to Hades AKA Shogun Assassin 2: Lightning Swords of Death,1972-01-01
69,78,Film,Lone Wolf and Cub: Baby Cart in Peril AKA Shogun Assassin 3: Slashing Blades of Carnage,1972-01-01
70,78,Film,Lone Wolf and Cub: Baby Cart in the Land of Demons AKA Shogun Assassin 4: Five Fistfuls of Gold,1973-01-01
71,78,Film,Lone Wolf and Cub: White Heaven in Hell AKA Shogun Assassin 5: Cold Road to Hell,1974-01-01
72,78,Film,Shogun Assassin,1980-01-01
73,78,TV movie,Lone Wolf With Child: An Assassin on the Road to Hell (Baby Cart In Purgatory),1989-01-01
74,78,Film, Lone Wolf and Cub: Final Conflict (Handful of Sand or A Child's Hand Reaches Up),1992-01-01
75,78,Television series,Lone Wolf and Cub,1973-01-01
76,78,Video game,Kozure Ōkami,1987-01-01
77,284,,,
79,293,Film,Ronin,1998-01-01
80,293,Film,Ronin,2007-01-01
81,293,Miniseries,Ronin,2014-04-01
82,288,Novel,The Death of Superman,1993-01-01
83,288,Novel, Superman: Doomsday & Beyond/Superman Lives!,1993-01-01
84,288,Video game,The Death and Return of Superman,1994-01-01
85,288,Animated direct-to-video film,Superman: Doomsday,2007-01-01
86,288, Animated direct-to-video superhero film,The Death of Superman,2018-07-20
87,288,Animated superhero film,Reign of the Supermen,2019-01-13
88,295,Period action film,300 ,2006-12-09
89,295,Video game,300: March to Glory,2007-02-27
90,298,movie,Perdita Durango,1997-01-01
91,312,3D live-action movie,The Wolverine,2013-07-26
